Donor,codename
Australia Red Cross,red cross
Azerbaijan Red Crescent,red cross
Bahamas Red Cross,red cross
Bahrain Red Crescent,red cross
Barbados Red Cross,red cross
Belarus Red Cross,red cross
Belgium Red Cross,red cross
Belize Red Cross,red cross
Bolivia Red Cross,red cross
Bosnian Red Crescent Society,red cross
Botswana Red Cross,red cross
Brazil Red Cross,red cross
British Red Cross Society,red cross
Bulgaria Red Cross,red cross
Burkina Faso Red Cross,red cross
Burkinabe Red Cross Society,red cross
Cambodia Red Cross,red cross
Cameroon Red Cross Society,Red Cross
Cape Verde Red Cross,red cross
Central African Red Cross,red cross
Central African Red Cross Society,red cross
Chad Red Cross,red cross
Chile Red Cross,red cross
China Red Cross Society,red cross
Colombia Red Cross,red cross
"Comoros Red Crescent, The",red cross
Cook Islands Red Cross,red cross
Costa Rican Red Cross,red cross
Croatia Red Cross,red cross
Croix Rouge Katanga,red cross
Croix Rouge RDC,red cross
Cruz Roja Costariricense,red cross
Curaçao Red Cross,red cross
Czech Rep. Red Cross,red cross
Djibouti Red Cross,red cross
"DRK, ICRC, IFRC (details not yet provided)",red cross
Ecuador Red Cross,red cross
Egyptian Red Crescent,red cross
El Salvador Red Cross,red cross
Ethiopian Red Cross,red cross
Fiji Red Cross,red cross
Finland Red Cross,red cross
Finnish Red Cross/Cambodian Red Cross,red cross
Flanders InterNational Red Cross Society,red cross
Georgian Red Cross,red cross
Greece Red Cross,red cross
Guatemalan Red Cross ,red cross
Guyana Red Cross,red cross
Haiti Red Cross,red cross
Haitian National Red Cross Society,red cross
Honduras Red Cross,red cross
Hong Kong Red Cross,red cross
Hungary Red Cross,red cross
Iceland Red Cross,red cross
India Red Cross,red cross
Indian Red Cross Society,red cross
Indonesia Red Crescent,red cross
Indonesian Red Crescent Society,red cross
Iran Red Crescent,red cross
Iraqi Red Crescent Society,red cross
Ireland Red Cross,red cross
Italy Red Cross,red cross
Japanese Red Cross,red cross
Jordanian Red Crescent,red cross
Kazakh Red Crescent Society,red cross
Kazakhstan Red Crescent,red cross
Kenya Red Cross,red cross
KESI,red cross
Korea Red Cross (DPR of) ,red cross
Korea Red Cross (Republic of) ,red cross
Kyrgyzstan Red Crescent,red cross
Lao Red Cross,red cross
Latvia Red Cross,red cross
Liberian Red Cross,red cross
Liberian Red Cross Society,red cross
Lithuania Red Cross,red cross
"Macedonia, FYR Red Cross",red cross
Madagascar Red Cross,red cross
Malagasy Red Cross,red cross
Malagasy Red Cross Society,red cross
Malawi Red Cross,red cross
Malaysia Red Cross,red cross
Maldive Red Cross,red cross
Mali Red Cross,red cross
Malta Red Cross,red cross
Mauritanian Red Crescent,red cross
Mauritius Red Cross,red cross
Mexico Red Cross,red cross
Monaco Red Cross,red cross
Mongolia Red Cross,red cross
Mongolian Red Cross,red cross
Morocco Red Crescent,red cross
Mozambique Red Cross,red cross
Mozambique Red Cross Society,red cross
Myanmar Red Cross,red cross
Myanmar Red Cross Society,red cross
Namibian Red Cross,red cross
Nicaragua Red Cross,red cross
Nicaraguan Red Cross,red cross
Niger Red Cross,red cross
Nigeria Red Cross,red cross
Nigerian Red Cross Society,red cross
Norway Red Cross,red cross
Organization of Arab Red Crescent and Red Cross Society,red cross
Pakistan Red Crescent,red cross
Palau Red Cross,red cross
Palestinian Red Crescent Society,red cross
Panamanian Red Cross,red cross
Papua New Guinea Red Cross,red cross
Paraguay Red Cross,red cross
Peru Red Cross,red cross
Peruvian Red Cross,red cross
Philippine Red Cross ,red cross
Philippines National Red Cross ,red cross
Poland Red Cross,red cross
Portugal Red Cross,red cross
Qatar Red Crescent,red cross
Red Crescent Society of Azerbaijan,red cross
Red Crescent Society of Djibouti,red cross
Red Crescent Society of Tajikistan,red cross
Red Crescent Society of Uzbekistan,red cross
Red Cross,red cross
Red Cross of Cape Verde,red cross
Red Cross of Chad,red cross
Red Cross of Montenegro,red cross
Red Cross of the Democratic Republic of the Congo,red cross
Red Cross Society of Georgia,red cross
Red Cross Society of Niger,red cross
Red Cross Society of Panama,red cross
Red Cross Society of the Democratic People's Republic of Korea,red cross
Red Cross Society of the Republic of Moldova,red cross
RedR UK,red cross
RKV - Flemish Red Cross,red cross
Romania Red Cross,red cross
Russia Red Cross,red cross
Rwanda Red Cross ,red cross
Rwandan Red Cross ,red cross
Samoa Red Cross,red cross
Saudi Red Crescent ,red cross
Serbia and Montenegro Red Cross,red cross
Seychelles Red Cross,red cross
Singapore Red Cross,red cross
Solomon Islands Red Cross,red cross
Somali Red Crescent Society,red cross
South African Red Cross,red cross
Sri Lanka Red Cross,red cross
Sudan Red Crescent,red cross
Sudan Red Crescent Society,red cross
Sudanese Red Crescent,red cross
Swedish Red Cross ,red cross
Syrian Arab Red Crescent,red cross
Syrian Red Crescent Society,red cross
Tajikistan Red Crescent Society,red cross
Tanzanian Red Cross,red cross
Togolese Red Cross,red cross
Tonga Red Cross Society,red cross
Trinidad & Tobago Red Cross,red cross
Tunisia Red Cross,red cross
Turkey Red Crescent,red cross
Uganda Red Cross,red cross
Ukraine Red Cross,red cross
United Arab Emirates Red Crescent,red cross
United Kingdom Red Cross ,red cross
Uruguay Red Cross,red cross
Vanuatu Red Cross,red cross
Venezuela Red Cross,red cross
Viet Nam Red Cross,red cross
Yemen Red Crescent Society,red cross
Zambia Red Cross Society,red cross
UNICEF National Committee/Austria,UN Multi
UNICEF National Committee/Belgium,UN Multi
UNICEF National Committee/Canada,UN Multi
